omschrijving;level;VT12;soort;importance;required;zichtbaar
Opmerking huur referenties;5;CommentRentComparable;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Transactiedatum;5;TransactionDate;Date;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Koop- / beleggingsreferenties van het object;5;ObjectValuationComparableSaleReferences;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Koop- / beleggingsreferenties [as];5;SaleReferenceAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Koop- / beleggingsreferenties [typed member];5;SaleReferenceTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [as];5;InternalIDCollateralAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [typed member];5;InternalIDCollateralTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Opmerking koop referenties;5;CommentSaleComparable;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Transactiedatum;5;TransactionDate;Date;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
#N/A;4;aqr;#N/A;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
AQR details: Algemene pandinformatie;5;AQRDetailsGeneralPropertyInformation;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
#N/A;5;PropertyAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
#N/A;5;PropertyTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [as];5;InternalIDCollateralAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [typed member];5;InternalIDCollateralTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Tijd tot eerstvolgende opzegmogelijkheid (gewogen op basis van bezetting);5;TimeToNextBreak;String;1;1;1
AQR: Onderpand informatie;5;AQRCollateralData;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [as];5;InternalIDCollateralAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [typed member];5;InternalIDCollateralTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het gebouw / subobject [as];5;InternalIDFacilityAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het gebouw / subobject [typed member];5;InternalIDFacilityTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Uitoefeningspotentieel;5;ExercisingPotential;Enumeration;1;1;1
AQR details: Taxatie;5;AQRDetailsValuation;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
#N/A;5;PropertyAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
#N/A;5;PropertyTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [as];5;InternalIDCollateralAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [typed member];5;InternalIDCollateralTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Staat van het object;5;AQRCondition;Enumeration;1;1;1
Significante bank laatste interne taxatie;5;SignificantBankLastInternalValuationValue;Monetary;1;1;1
Significante bank laatste interne taxatie datum;5;SignificantBankLastInternalValuationDate;Date;1;1;1
Soort interne validatie;5;LastInternalValuationType;Enumeration;1;1;1
"Specificering op interne validatie wanneer ""overig"" is gekozen";5;LastInternalValuationTypeIfOther;String;1;1;1
Oorspronkelijke waardering;5;FirstValuationValue;Monetary;1;1;1
Datum oorspronkelijke waardering;5;FirstValuationDate;Date;1;1;1
Tijd tot voltooiing;5;AQRTimeToCompletion;Number;1;1;1
Verwachte noodzakelijke financiering om project af te ronden;5;FinanceNeededToCompletion;Monetary;1;1;1
Is de bouwvergunning voor wijzigingen aan het object verleend;5;PlanningPermissionStatus;Enumeration;1;1;1
zekerheden;4;; ;1;1;1
 ;5;; ;1;1;1
 ;5;; ;1;1;1
 ;5;; ;1;1;1
 ;5;; ;1;1;1
 ;5;; ;1;1;1
 ;5;; ;1;1;1
Gebouw 1;3;gebouw 1;#N/A;1;1;1
Gebouw- / subobjectinformatie [titel];4;BuildingInfoTitle;Abstract;1;1;1
Algemene gebouw- /subobjectinformatie [titel];4;BuildingGeneralInformationTitle;Abstract;1;1;1
Algemene gebouw- / subobjectinformatie;4;BuildingInformation;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het gebouw / subobject [as];4;InternalIDFacilityAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het gebouw / subobject [typed member];4;InternalIDFacilityTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [as];4;InternalIDCollateralAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [typed member];4;InternalIDCollateralTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Feitelijk gebruik van het pand;4;ActualUse;Enumeration;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Huursituatie van het pand;4;LeasedOrUsedByOwner;Enumeration;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Bouwjaar;4;ConstructionYear;String;1;1;1
Laatste renovatiejaar;4;RenovationYear;String;1;1;1
Aantal dagen tot het volgende break-moment;4;DaysToNextBreak;Number;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Theoretische beschikbare verhuurbare vloeroppervlakte;4;AreaForLease;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Methode theoretisch beschikbare hoeveelheid verhuurbare vloer oppervlakte;4;AreaForLeaseMethod;Enumeration;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Kadastrale gemeente;4;CountyLandRegister;String;2;"{""sharedFormula"":""F3"",""result"":0}";1
Type eigendomsrecht;4;GroundInterest;Enumeration;2;"{""sharedFormula"":""F3"",""result"":0}";1
Opmerkingen ten aanzien van de kadastrale registratie;4;LandRegisterComments;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Een grondstuk kan meerdere eigenaren hebben, alleen het percentage van de gerapporteerde eigenaar wordt opgenomen. Op gebouwniveau wordt het oppervlakte gewogen met de oppervlakte van de percelen.;4;OwnershipPercentage;Number;2;"{""sharedFormula"":""F3"",""result"":0}";1
Het perceel oppervlakte zoals bekend bij het kadaster;4;LandRegisterArea;String;2;"{""sharedFormula"":""F3"",""result"":0}";1
Informatie over gebouw- /subobjectreferentie;4;BuildingInformationReference;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het gebouw / subobject [as];4;InternalIDFacilityAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het gebouw / subobject [typed member];4;InternalIDFacilityTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [as];4;InternalIDCollateralAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [typed member];4;InternalIDCollateralTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Gebouw- / subobjectreferentie toegekend door;4;BuildingReferenceAllocatedBy;Enumeration;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Gebouw- /subobjectreferentie toegekend door (beschrijving);4;BuildingReferenceAllocatedByDescription;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Omschrijving unieke gebouw- / subobjectreferentie;4;BuildingReferenceDescription;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Typering van het gebouw / subobject;4;BuildingTyping;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het gebouw / subobject [as];4;InternalIDFacilityAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het gebouw / subobject [typed member];4;InternalIDFacilityTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [as];4;InternalIDCollateralAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [typed member];4;InternalIDCollateralTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Een beschrijving van het pand;4;TypingDescription;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Sector type;4;IPDtype;Enumeration;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Subsector type;4;IPDSubtype;Enumeration;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Adres van het gebouw / subobject;4;BuildingAddress;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het gebouw / subobject [as];4;InternalIDFacilityAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het gebouw / subobject [typed member];4;InternalIDFacilityTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [as];4;InternalIDCollateralAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [typed member];4;InternalIDCollateralTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Locatieomschrijving NL;4;DescriptionLocationNL;String;1;1;1
Straatnaam NL;4;StreetNameNL;String;1;1;1
Huisnummer NL;4;HouseNumberNL;String;1;1;1
Huisnummer toevoeging;4;HouseNumberAddition;String;2;"{""sharedFormula"":""F3"",""result"":0}";1
Plaats;4;PlaceOfResidenceNL;String;1;1;1
Stadsdeel;4;Borough;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Postcode NL;4;PostalCodeNL;String;1;1;1
 ;4;;;2;"{""sharedFormula"":""F3"",""result"":0}";1
Gemeente;4;Municipality;String;1;1;1
Provincie;4;NameRegion;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Landnaam, ISO;4;CountryName;String;1;1;1
Verblijfsobject-identificatie;4;BAGVBOID;String;2;"{""sharedFormula"":""F3"",""result"":0}";1
Pandindentificatie;4;BAGPandID;String;2;"{""sharedFormula"":""F3"",""result"":0}";1
Presentatievolgorde;4;PresentationOrder;Number;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Gebouw- / subobjectinformatie [titel];4;BuildingInfoTitle;Abstract;1;1;1
Juridische information van het gebouw / subobject [titel];5;BuildingLegalInfoTitle;Abstract;1;1;1
Juridische informatie gebouw / subobject;6;BuildingLegalInformation;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het gebouw / subobject [as];6;InternalIDFacilityAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het gebouw / subobject [typed member];6;InternalIDFacilityTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [as];6;InternalIDCollateralAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [typed member];6;InternalIDCollateralTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Recht van opstal;6;RightOfResidence;Enumeration;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Rijksmonument;6;NationalMonument;Enumeration;2;"{""sharedFormula"":""F3"",""result"":0}";1
Provinciaal monument;6;ProvinceMonument;Enumeration;2;"{""sharedFormula"":""F3"",""result"":0}";1
Gemeentelijk monument;6;CountyMonument;Enumeration;2;"{""sharedFormula"":""F3"",""result"":0}";1
Beschermde stads/dorpsgezicht;6;ProtectedCountyView;Enumeration;2;"{""sharedFormula"":""F3"",""result"":0}";1
Kadastrale aanduiding percelen gebouw / subobject;6;BuildingLandRegisterParcels;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het perceel [as];6;InternalIDParcelAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het perceel [typed member];6;InternalIDParcelTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het gebouw / subobject [as];6;InternalIDFacilityAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het gebouw / subobject [typed member];6;InternalIDFacilityTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [as];6;InternalIDCollateralAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [typed member];6;InternalIDCollateralTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Kadastrale eigenaar;6;OwnerAccordingToLandRegister;String;2;"{""sharedFormula"":""F3"",""result"":0}";1
Registratienummer bij de Kamer van Koophandel van de eigenaar;6;OwnerChamberOfCommerceRegistrationNumber;String;2;"{""sharedFormula"":""F3"",""result"":0}";1
Kadastrale gemeente;6;CountyLandRegister;String;2;"{""sharedFormula"":""F3"",""result"":0}";1
Kadastrale gemeente sectie;6;CountyLandRegisterSection;String;2;"{""sharedFormula"":""F3"",""result"":0}";1
Kadastrale gemeente nummer;6;CountyLandRegisterNumber;String;2;"{""sharedFormula"":""F3"",""result"":0}";1
Kadastrale gemeente index appartements nummer;6;CountyLandRegisterIndexNumberAppartmentRight;String;2;"{""sharedFormula"":""F3"",""result"":0}";1
Type eigendomsrecht;6;GroundInterest;Enumeration;2;"{""sharedFormula"":""F3"",""result"":0}";1
Een grondstuk kan meerdere eigenaren hebben, alleen het percentage van de gerapporteerde eigenaar wordt opgenomen. Op gebouwniveau wordt het oppervlakte gewogen met de oppervlakte van de percelen.;6;OwnershipPercentage;Number;2;"{""sharedFormula"":""F3"",""result"":0}";1
Het perceel oppervlakte zoals bekend bij het kadaster;6;LandRegisterArea;String;2;"{""sharedFormula"":""F3"",""result"":0}";1
Kadastrale aanduiding percelen verkoopinformatie gebouw / subobject;6;BuildingLandRegisterParcelSalesInformation;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het perceel [as];6;InternalIDParcelAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het perceel [typed member];6;InternalIDParcelTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het gebouw / subobject [as];6;InternalIDFacilityAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het gebouw / subobject [typed member];6;InternalIDFacilityTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [as];6;InternalIDCollateralAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [typed member];6;InternalIDCollateralTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Kadastrale verkoopdatum;6;LandRegisterParcelSalesDate;Date;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Kadastrale verkoopprijs;6;LandRegisterParcelSalesPrice;Monetary;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Gebruikssituatie van het gebouw / subobject [titel];5;BuildingUsageTitle;Abstract;1;1;1
Gebruikssituatie van het gebouw / subobject;6;BuildingUsage;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het gebouw / subobject [as];6;InternalIDFacilityAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het gebouw / subobject [typed member];6;InternalIDFacilityTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [as];6;InternalIDCollateralAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [typed member];6;InternalIDCollateralTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Verhuurde oppervlakte;6;AreaLeased;String;2;"{""sharedFormula"":""F3"",""result"":0}";1
Bezettingspercentage;6;OccupancyRate;Number;1;1;1
Basishuur per jaar;6;ContractRentPerYear;Monetary;2;"{""sharedFormula"":""F3"",""result"":0}";1
Datum van basishuur schatting;6;EstimateHeadlineRentDate;Date;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Kredietkwaliteit hoofdhuurder;6;CreditQualityAnchorTenant;Enumeration;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Mediaan kredietkwaliteit huurders;6;MedianCreditQualityTenants;Enumeration;2;"{""sharedFormula"":""F3"",""result"":0}";1
Aantal huurders;6;NumberOfTenants;Number;1;1;1
Algemene huurinformatie van het gebouw / subobject;6;BuildingGeneralLeaseInformation;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het gebouw / subobject [as];6;InternalIDFacilityAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het gebouw / subobject [typed member];6;InternalIDFacilityTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [as];6;InternalIDCollateralAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [typed member];6;InternalIDCollateralTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Naam huurder;6;TenantName;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Registratienummer bij de Kamer van Koophandel van de huurder;6;TenantChamberOfCommerceRegistrationNumber;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Kredietkwaliteit hoofdhuurder;6;CreditQualityAnchorTenant;Enumeration;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Kredietkwaliteit huurder;6;CreditQualityTenant;Enumeration;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Hoofdhuurder;6;AnchorTenant;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
NAICS-code;6;NAICSCode;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Huurregels van het gebouw / subobject;6;BuildingLeaseCharges;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van de huurregels [as];6;InternalIDLeaseChargesAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van de huurregels [typed member];6;InternalIDLeaseChargesTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het gebouw / subobject [as];6;InternalIDFacilityAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het gebouw / subobject [typed member];6;InternalIDFacilityTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [as];6;InternalIDCollateralAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [typed member];6;InternalIDCollateralTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Inkomenscategorie;6;IncomeCategory;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Betalingsfrequentie;6;PaymentFrequency;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Huur is BTW-belast;6;LeaseVATChargeable;Enumeration;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
BTW-percentage van toepassing op huurregel;6;LeaseVAT;Number;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Huur is rentedragend;6;LeaseInterestChargeable;Enumeration;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Huurcommissiezaak op huurprijs;6;RentCommissionAuthorityCase;Enumeration;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Te facturereren bedrag;6;AmountInvoiced;Monetary;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Huur op startdatum;6;StartingRent;Monetary;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Start betalingsschema;6;StartPaymentSchedule;Date;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Einde betalingsschema;6;EndPaymentSchedule;Date;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Voorschot;6;AdvancePayment;Enumeration;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Breakregels van het gebouw / subobject;6;BuildingLeaseChargesBreak;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van de huurregels [as];6;InternalIDLeaseChargesAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van de huurregels [typed member];6;InternalIDLeaseChargesTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het gebouw / subobject [as];6;InternalIDFacilityAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het gebouw / subobject [typed member];6;InternalIDFacilityTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [as];6;InternalIDCollateralAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het onderpand / object [typed member];6;InternalIDCollateralTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Datum break optie in huurovereenkomst;6;BreakDate;Date;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Eerste mogelijke opzegdatum;6;FirstNoticeDate;Date;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Laatste mogelijke opzegdatum;6;LastNoticeDate;Date;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Partij(en) die de break mogen uitoefenen;6;BreakParty;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Bedrag gemoeid met het uitoefenen van een break-optie;6;BreakPenalty;Monetary;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Partij die bij het uitoefenen van een break-optie het bedrag betaalt;6;BreakPenaltyParty;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Rollende break-optie;6;BreakRollingOption;Enumeration;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Gebouw / subobject huurbedrag;6;BuildingRentMeasurement;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van de huurregels [as];6;InternalIDLeaseChargesAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van de huurregels [typed member];6;InternalIDLeaseChargesTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het gebouw / subobject [as];6;InternalIDFacilityAxis;Abstract;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
Interne id van het gebouw / subobject [typed member];6;InternalIDFacilityTypedMember;String;3;"{""sharedFormula"":""F3"",""result"":0}";"{""sharedFormula"":""G3"",""result"":0}"
