; AA1-V03.tbl

LANGPARTVORD-3        LENINGUG-3
NAHEFFINGEN-0         OVBUITLASTEN-0
NAHEFFINGEN-1         OVBUITLASTEN-1
NAHEFFINGEN-2         OVBUITLASTEN-2
NAHEFFINGEN-3         OVBUITLASTEN-3
ONDKRACHT-1        DIRKRACHT-1
ONDKRACHT-2        DIRKRACHT-2
OVCHEQUEK-1           ROVKORTKRED-1
OVCHEQUEK-2           ROVKORTKRED-2
OVCHEQUEK-3           ROVKORTKRED-3
OVFINVASTAKT-0        OVFINVA-0
OVFINVASTAKT-1        OVFINVA-1
OVFINVASTAKT-2        OVFINVA-2
OVFINVASTAKT-3        OVFINVA-3
OVKORTKRED2-0         OVOVERLPAS-0
OVKORTKRED2-1         OVOVERLPAS-1
OVKORTKRED2-2         OVOVERLPAS-2
OVKORTKRED2-3         OVOVERLPAS-3
OVKORTKRED3-0         OVOVERLPAS-0
OVKORTKRED3-1         OVOVERLPAS-1
OVKORTKRED3-2         OVOVERLPAS-2
OVKORTKRED3-3         OVOVERLPAS-3
OVKORTKRED4-0         OVOVERLPAS-0
OVKORTKRED4-1         OVOVERLPAS-1
OVKORTKRED4-2         OVOVERLPAS-2
OVKORTKRED4-3         OVOVERLPAS-3
OVRESCORR3-1          OVRESCORR2-1
OVRESCORR3-2          OVRESCORR2-2
OVRESCORR3-3          OVRESCORR2-3
OVVORD2-0             OVOVERLAKT-0
OVVORD2-1             OVOVERLAKT-1
OVVORD2-2             OVOVERLAKT-2
OVVORD2-3             OVOVERLAKT-3
OVVORD3-0             OVOVERLAKT-0
OVVORD3-1             OVOVERLAKT-1
OVVORD3-2             OVOVERLAKT-2
OVVORD3-3             OVOVERLAKT-3
PENSDOTDIR-1          PENSDOT-1
PENSDOTDIR-2          PENSDOT-2
PENSDOTPERS-1         PENSDOT-1
PENSDOTPERS-2         PENSDOT-2
PENSPREMDIR-1         PENSPREM-1
PENSPREMDIR-2         PENSPREM-2
PENSPREMPERS-1        PENSPREM-1
PENSPREMPERS-2        PENSPREM-2
PENSVOORZDIR-1        PENSVOORZ-1
PENSVOORZDIR-2        PENSVOORZ-2
PENSVOORZPERS-1       PENSVOORZ-1
PENSVOORZPERS-2       PENSVOORZ-2
RCRED-1               ROVKORTKRED-1
RCRED-2               ROVKORTKRED-2
RCRED-3               ROVKORTKRED-3
RKORTFISKRED-1        ROVKORTKRED-1
RKORTFISKRED-2        ROVKORTKRED-2
RKORTFISKRED-3        ROVKORTKRED-3
RKORTPARTKRED-1       ROVKORTKRED-1
RKORTPARTKRED-2       ROVKORTKRED-2
RKORTPARTKRED-3       ROVKORTKRED-3
RLIQEFFECTEN-1        KOERSRESEFFECTEN-1
RLIQEFFECTEN-2        KOERSRESEFFECTEN-2
RLIQEFFECTEN-3        KOERSRESEFFECTEN-3
ROVKORTKRED2-1        ROVKORTKRED-1
ROVKORTKRED2-2        ROVKORTKRED-2
ROVKORTKRED2-3        ROVKORTKRED-3
ROVKORTKRED3-1        ROVKORTKRED-1
ROVKORTKRED3-2        ROVKORTKRED-2
ROVKORTKRED3-3        ROVKORTKRED-3
ROVKORTKRED4-1        ROVKORTKRED-1
ROVKORTKRED4-2        ROVKORTKRED-2
ROVKORTKRED4-3        ROVKORTKRED-3
STAMDOTDIR-1          ROVKORTKRED-1
STAMDOTDIR-2          ROVKORTKRED-2
STAMDOTDIR-3          ROVKORTKRED-3
TOEOVERIGE-1          TOEVERMAANSL-1
TOEOVERIGE-2          TOEVERMAANSL-2
TOEOVERIGE-3          TOEVERMAANSL-3
VRIJVALWIR-1          OVRESCORR2-1
VRIJVALWIR-2          OVRESCORR2-2
VRIJVALWIR-3          OVRESCORR2-3
HandVrdHERW-1         HandVrdTAX-1
HandVrdHERW-2         HandVrdTAX-2
HandVrdHERW-3         HandVrdTAX-3
MatVRDHERW-1          MatVRDTAX-1
MatVRDHERW-2          MatVRDTAX-2
MatVRDHERW-3          MatVRDTAX-3
OndWerkHERW-1         OndWerkTAX-1
OndWerkHERW-2         OndWerkTAX-2
OndWerkHERW-3         OndWerkTAX-3
ProdVrdHERW-1         ProdVrdTAX-1
ProdVrdHERW-2         ProdVrdTAX-2
ProdVrdHERW-3         ProdVrdTAX-3
OvVRDHERW-1           OvVRDTAX-1
OvVRDHERW-2           OvVRDTAX-2
OvVRDHERW-3           OvVRDTAX-3
DivVRDHERW-1          DivVRDTAX-1
DivVRDHERW-2          DivVRDTAX-2
DivVRDHERW-3          DivVRDTAX-3
VoorVrdHERW-1         VoorVrdTAX-1
VoorVrdHERW-2         VoorVrdTAX-2
VoorVrdHERW-3         VoorVrdTAX-3
VoorzVrdHERW-1        VoorzVrdTAX-1
VoorzVrdHERW-2        VoorzVrdTAX-2
VoorzVrdHERW-3        VoorzVrdTAX-3
HandDebHERW-1         HandDebTAX-1
HandDebHERW-2         HandDebTAX-2
HandDebHERW-3         HandDebTAX-3
KortPartVordHERW-1    KortPartVordTAX-1
KortPartVordHERW-2    KortPartVordTAX-2
KortPartVordHERW-3    KortPartVordTAX-3
VoorBetBelHERW-1      VoorBetBelTAX-1
VoorBetBelHERW-2      VoorBetBelTAX-2
VoorBetBelHERW-3      VoorBetBelTAX-3
AktBTWHERW-1          AktBTWTAX-1
AktBTWHERW-2          AktBTWTAX-2
AktBTWHERW-3          AktBTWTAX-3
TeOntvWIRHERW-1       TeOntvWIRTAX-1
TeOntvWIRHERW-2       TeOntvWIRTAX-2
TeOntvWIRHERW-3       TeOntvWIRTAX-3
CheqVordHERW-1        OvOverlAktTAX-1
CheqVordHERW-2        OvOverlAktTAX-2
CheqVordHERW-3        OvOverlAktTAX-3
OvOverlAktHERW-1      OvOverlAktTAX-1
OvOverlAktHERW-2      OvOverlAktTAX-2
OvOverlAktHERW-3      OvOverlAktTAX-3
OvVordHERW-1          OvVordTAX-1
OvVordHERW-2          OvVordTAX-2
OvVordHERW-3          OvVordTAX-3
OvVord2HERW-1         OvOverlAktTAX-1
OvVord2HERW-2         OvOverlAktTAX-2
OvVord2HERW-3         OvOverlAktTAX-3
OvVord3HERW-1         OvOverlAktTAX-1
OvVord3HERW-2         OvOverlAktTAX-2
OvVord3HERW-3         OvOverlAktTAX-3
VoorzDebHERW-1        VoorzDebTAX-1
VoorzDebHERW-2        VoorzDebTAX-2
VoorzDebHERW-3        VoorzDebTAX-3

