;"Generated by FINAN XBRL Taxonomy Viewer v4.4.1"
;"Taxonomy: BT2016(BankRptWoz)"

"Sort";"ID";"Level";"Label nl";"Label en";"PreferredLabelRole";"ElementName";"NamespaceAlias";"FinanVarName";"Url";"SubstitutionGroup";"UseCount";"IsTuple";"IsTupleKey";"IsInThisTuple";"TupleDepth";"TupleInstanceOrder";"MinTupleInstances";"MaxTupleInstances";"ElementType";"ShortElementType";"BaseType";"DataType (FMT4)";"InputRequired";"Pattern";"Enumeration";"FractionDigits";"TotalDigits";"Length";"MinLength";"MaxLength";"MinInclusive";"MaxInclusive";"MinExclusive";"MaxExclusive";"PeriodType";"Balance";"Abstract";"Nillable";"Documentation nl";"Documentation en";"Ddef.Guidance nl";"Ddef.Guidance en";"References"
11;"nl-cd:HouseNumberNL";3;"      Huisnummer";"      House number";"urn:bank:preflabel:label";"HouseNumberNL";"nl-cd";"HouseNumberNL";"http://www.nltaxonomie.nl/10.0/basis/sbr/items/nl-common-data#HouseNumberNL";"xbrli:item";1;0;0;;"0";"0";"0";"0";"nl-types:nonNegative20ItemType";"nonNegative20";"xbrli:stringItemType";"String";"0";"([0-9]{1,20})";"";"";"";"";"";"";"";"";"";"";"Duration";"None";0;0;"De numerieke aanduiding zoals deze door de gemeente aan het object is toegekend.";"The numeric part of the object as designated by the municipality.";"Het huisnummer.";"";"IssueDate: 2002, Name: NEN5825"
12;"nl-cd:PostalCodeNL";3;"      Postcode";"      Postal code";"http://www.xbrl.org/2003/role/terseLabel";"PostalCodeNL";"nl-cd";"PostalCodeNL";"http://www.nltaxonomie.nl/10.0/basis/sbr/items/nl-common-data#PostalCodeNL";"xbrli:item";1;0;0;;"0";"0";"0";"0";"nl-types:nlzipItemType";"nlzip";"xbrli:stringItemType";"String";"0";"([1-9]{1}[0-9]{3}[A-Z]{2})";"";"";"";"";"";"";"";"";"";"";"Duration";"None";0;0;"De officiële codering van PostNL voor een Nederlands postadres, bestaande uit een numeriek deel en een alfabetisch deel.";"The official coding of PostNL for a Dutch postal address, consisting of a numeric part and an alphabetic part.";"De postcode van het adres.";"";"IssueDate: 2002, Name: NEN5825|Article: 37, Name: Wet op de omzetbelasting 1968, Paragraph: a"
13;"nl-cd:PlaceOfResidenceNL";3;"      Vestigingsplaats";"      Place of residence";"http://www.xbrl.org/2003/role/terseLabel";"PlaceOfResidenceNL";"nl-cd";"PlaceOfResidenceNL";"http://www.nltaxonomie.nl/10.0/basis/sbr/items/nl-common-data#PlaceOfResidenceNL";"xbrli:item";1;0;0;;"0";"0";"0";"0";"nl-types:string1000ItemType";"string1000";"xbrli:tokenItemType";"String";"0";"";"";"";"";"";"1";"1000";"";"";"";"";"Duration";"None";0;0;"De officiële door de gemeente vastgestelde gemeentenaam.";"The official municipality name as designated by the municipality.";"De plaats van vestiging van de onderneming.";"";"Name: LO3.9, Page: 253, Publisher: Gemeentelijke basisadministratie|IssueDate: 2002, Name: NEN5825|Article: 37, Name: Wet op de omzetbelasting 1968, Paragraph: a"
14;"kvk-t:ContactForDocumentPresentation";3;"      Contactpersoon voor deze rapportage";"      Contact for this document";"urn:bank:preflabel:label";"ContactForDocumentPresentation";"kvk-t";"ContactForDocumentPresentation";"http://www.nltaxonomie.nl/10.0/domein/kvk/tuples/kvk-tuples#ContactForDocumentPresentation";"sbr:presentationTuple";1;1;0;;"0";"0";"1";"1";"";"";"";"Abstract";"0";;;;;;;;;;;;"Other";"None";0;0;"Deze tuple is bedoeld voor het opnemen van de contactgegevens van de contactpersoon van deze rapportage. Deze contactpersoon kan van de organisatie zelf zijn of van haar intermediair.";"The intention of this tuple is to record the contact details of the contact for this document. This contact can be a person from the organisation itself or from its intermediary.";"De gegevens van de contactpersoon betreffende deze rapportage.";"";""
15;"kvk-i:ContactType";4;"         Soort contactpersoon";"         Contact type";"";"ContactType";"kvk-i";"ContactType";"http://www.nltaxonomie.nl/10.0/basis/kvk/items/kvk-data#ContactType";"xbrli:item";1;0;0;"kvk-t:ContactForDocumentPresentation";"1";"0";"0";"0";"kvk-codes:contactItemType";"contact";"xbrli:stringItemType";"Enumeration";"0";"";"Intermediair|Ondernemer";"";"";"";"";"";"";"";"";"";"Duration";"None";0;0;"Dit concept dient voor het classificeren van de contactpersoon van deze rapportage in de categorie ""ondernemer"" of ""intermediair"".";"The purpose of this concept is to categorise the contact for this report into either ""Intermediary"" or ""Entrepreneur"".";"";"";""
16;"nl-cd:FirstName";4;"         Voornamen";"         First name";"";"FirstName";"nl-cd";"FirstName";"http://www.nltaxonomie.nl/10.0/basis/sbr/items/nl-common-data#FirstName";"xbrli:item";1;0;0;"kvk-t:ContactForDocumentPresentation";"1";"1";"0";"0";"nl-types:string1000ItemType";"string1000";"xbrli:tokenItemType";"String";"0";"";"";"";"";"";"1";"1000";"";"";"";"";"Duration";"None";0;0;"De verzameling namen die, gescheiden door spaties, aan de geslachtsnaam voorafgaat. Indien aanwezig, wordt het predikaat afgesplitst.";"The collection of names, separated by spaces, which precede the family name stripped of predicates.";"De voornaam.";"";"Name: LO3.9, Page: 234, Publisher: Gemeentelijke basisadministratie"
17;"nl-cd:FamilyName";4;"         Geslachtsnaam";"         Family name";"";"FamilyName";"nl-cd";"FamilyName";"http://www.nltaxonomie.nl/10.0/basis/sbr/items/nl-common-data#FamilyName";"xbrli:item";1;0;0;"kvk-t:ContactForDocumentPresentation";"1";"2";"0";"0";"nl-types:string1000ItemType";"string1000";"xbrli:tokenItemType";"String";"0";"";"";"";"";"";"1";"1000";"";"";"";"";"Duration";"None";0;0;"De (geslachts)naam waarvan de eventueel aanwezige voorvoegsels en adellijke titel/predikaat zijn afgesplitst.";"The family name stripped of any prefixes and noble titles/predicates.";"De achternaam van de persoon.";"";"Name: LO3.9, Page: 237, Publisher: Gemeentelijke basisadministratie"
18;"venj-bw2-i:OrganisationName";4;"         Naam van de organisatie";"         Name of the organisation";"http://www.xbrl.org/2003/role/terseLabel";"OrganisationName";"venj-bw2-i";"OrganisationName";"http://www.nltaxonomie.nl/10.0/basis/venj/items/venj-bw2-data#OrganisationName";"xbrli:item";1;0;0;"kvk-t:ContactForDocumentPresentation";"1";"3";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"String";"0";;;;;;;;;;;;"Duration";"None";0;0;"Naam van de organisatie of rechtspersoon die in casu wordt vertegenwoordigd.";"Name of the organisation or legal entity that is being represented in this situation.";"";"";"Article: 15, IssueDate: 2015-01-01, Name: Besluit modellen jaarrekening"
19;"nl-cd:TelephoneNumber";4;"         Telefoonnummer";"         Telephone number";"";"TelephoneNumber";"nl-cd";"TelephoneNumber";"http://www.nltaxonomie.nl/10.0/basis/sbr/items/nl-common-data#TelephoneNumber";"xbrli:item";1;0;0;"kvk-t:ContactForDocumentPresentation";"1";"4";"0";"0";"nl-types:string1000ItemType";"string1000";"xbrli:tokenItemType";"String";"0";"";"";"";"";"";"1";"1000";"";"";"";"";"Duration";"None";0;0;"Het nummer waaronder een persoon of organisatie telefonisch te bereiken is, bestaande uit een netnummer en een abonneenummer.";"The number on which a person or organisation can be reached by telephone, consisting of an area code and a subscriber number.";"Het telefoonnummer.";"";"IssueDate: 2002, Name: NEN5825|Article: 37, Name: Wet op de omzetbelasting 1968, Paragraph: a"
20;"nl-cd:EmailAddressFull";4;"         E-mailadres";"         Email address";"http://www.xbrl.org/2003/role/terseLabel";"EmailAddressFull";"nl-cd";"EmailAddressFull";"http://www.nltaxonomie.nl/10.0/basis/sbr/items/nl-common-data#EmailAddressFull";"xbrli:item";1;0;0;"kvk-t:ContactForDocumentPresentation";"1";"5";"0";"0";"nl-types:emailItemType";"email";"xbrli:stringItemType";"String";"0";"[^@]+@[^@]+";"";"";"";"";"6";"254";"";"";"";"";"Duration";"None";0;0;"Het adres waaronder een persoon of organisatie via het internet per elektronische post te bereiken is.";"The address with which the person or organisation is contacted through the internet electronic mail.";"Het (volledige) email adres.";"";"IssueDate: 2002, Name: NEN5825"
