1;omschrijving;level;VT12;controle;soort;VLB;control2;soort2;;klopt dit?;;;;;;;mate van belangrijkheid
476;Staat van het object;5;AQRCondition;AQRCondition;Enumeration;; ; ;1;;;;;;;;1
477;Significante bank laatste interne taxatie;5;SignificantBankLastInternalValuationValue;SignificantBankLastInternalValuationValue;Monetary;; ; ;1;;;;;;;;1
478;Significante bank laatste interne taxatie datum;5;SignificantBankLastInternalValuationDate;SignificantBankLastInternalValuationDate;Date;; ; ;1;;;;;;;;1
479;Soort interne validatie;5;LastInternalValuationType;LastInternalValuationType;Enumeration;; ; ;1;;;;;;;;1
480;"Specificering op interne validatie wanneer ""overig"" is gekozen";5;LastInternalValuationTypeIfOther;LastInternalValuationTypeIfOther;String;; ; ;1;;;;;;;;1
481;Oorspronkelijke waardering;5;FirstValuationValue;FirstValuationValue;Monetary;; ; ;1;;;;;;;;1
482;Datum oorspronkelijke waardering;5;FirstValuationDate;FirstValuationDate;Date;;;;1;;;;;;;;1
483;Tijd tot voltooiing;5;AQRTimeToCompletion;AQRTimeToCompletion;Number;;;;1;;;;;;;;1
484;Verwachte noodzakelijke financiering om project af te ronden;5;FinanceNeededToCompletion;FinanceNeededToCompletion;Monetary;;;;1;;;;;;;;1
485;Is de bouwvergunning voor wijzigingen aan het object verleend;5;PlanningPermissionStatus;PlanningPermissionStatus;Enumeration;;;;1;;;;;;;;1
486;zekerheden;4;; ; ;FvL_CVLocatie_tpExtraZekerheden_ti001;FvL_CVLocatie_tpExtraZekerheden_ti001;Number;1;;;;;;;;1
487; ;5;; ; ;FvL_CVLocatie_tpExtraZekerhedenVerpandeCreditgelden_ti001;FvL_CVLocatie_tpExtraZekerhedenVerpandeCreditgelden_ti001;Number;1;;;;;;;;1
488; ;5;; ; ;FvL_CVLocatie_tpExtraZekerhedenEffecten_ti001;FvL_CVLocatie_tpExtraZekerhedenEffecten_ti001;Number;1;;;;;;;;1
489; ;5;; ; ;FvL_CVLocatie_tpExtraZekerhedenBorgstelling_ti001;FvL_CVLocatie_tpExtraZekerhedenBorgstelling_ti001;Number;1;;;;;;;;1
490; ;5;; ; ;FvL_CVLocatie_tpExtraZekerhedenBorgstellingSecurisatie_ti001;FvL_CVLocatie_tpExtraZekerhedenBorgstellingSecurisatie_ti001;String;1;;;;;;;;1
491; ;5;; ; ;FvL_CVLocatie_tpExtraZekerhedenOG_ti001;FvL_CVLocatie_tpExtraZekerhedenOG_ti001;Number;1;;;;;;;;1
492; ;5;; ; ;FvL_CVLocatie_tpExtraZekerheden_ti001;FvL_CVLocatie_tpExtraZekerheden_ti001;Number;1; ;;;;;;;1
493;Gebouw 1;3;gebouw 1;#N/A;#N/A;; ; ;1;;;;;;;;0
494;Gebouw- / subobjectinformatie [titel];4;BuildingInfoTitle;BuildingInfoTitle;Abstract;;;;1;;;;;;;;0
495;Algemene gebouw- /subobjectinformatie [titel];4;BuildingGeneralInformationTitle;BuildingGeneralInformationTitle;Abstract;; ; ;1;;;;;;;;0
496;Algemene gebouw- / subobjectinformatie;4;BuildingInformation;BuildingInformation;Abstract;;;;3;;;;;;;;3
497;Interne id van het gebouw / subobject [as];4;InternalIDFacilityAxis;InternalIDFacilityAxis;Abstract;;;;3;;;;;;;;3
498;Interne id van het gebouw / subobject [typed member];4;InternalIDFacilityTypedMember;InternalIDFacilityTypedMember;String;;;;3;;;;;;;;3
499;Interne id van het onderpand / object [as];4;InternalIDCollateralAxis;InternalIDCollateralAxis;Abstract;;;;3;;;;;;;;3
500;Interne id van het onderpand / object [typed member];4;InternalIDCollateralTypedMember;InternalIDCollateralTypedMember;String;;;;3;;;;;;;;3
501;Feitelijk gebruik van het pand;4;ActualUse;ActualUse;Enumeration;FvL_CVLocatie_tpObject_tpHuurders_tpVerhuurdJN_ti001_ti001_ti001;FvL_CVLocatie_tpObject_tpHuurders_tpVerhuurdJN_ti001_ti001_ti001;Number;3;;;;;;;;1
502;Huursituatie van het pand;4;LeasedOrUsedByOwner;LeasedOrUsedByOwner;Enumeration;FvL_CVLocatie_tpObject_tpHuurders_tpVerhuurEigenOndernemingJN_ti001_ti001_ti001;FvL_CVLocatie_tpObject_tpHuurders_tpVerhuurEigenOndernemingJN_ti001_ti001_ti001;Number;3;;;;;;;;1
503;Bouwjaar;4;ConstructionYear;ConstructionYear;String;FvL_CVLocatie_tpOuderdom_ti001;FvL_CVLocatie_tpOuderdom_ti001;Number;1;;;;;;;;3
504;Laatste renovatiejaar;4;RenovationYear;RenovationYear;String;; ; ;1;;;;;;;;3
505;Aantal dagen tot het volgende break-moment;4;DaysToNextBreak;DaysToNextBreak;Number;; ; ;3;;;;;;;;2
506;Theoretische beschikbare verhuurbare vloeroppervlakte;4;AreaForLease;AreaForLease;String;; ; ;3;;;;;;;;1
507;Methode theoretisch beschikbare hoeveelheid verhuurbare vloer oppervlakte;4;AreaForLeaseMethod;AreaForLeaseMethod;Enumeration;; ; ;3;;;;;;;;3
508;Kadastrale gemeente;4;CountyLandRegister;CountyLandRegister;String;; ; ;2;;;;;;;;3
509;Type eigendomsrecht;4;GroundInterest;GroundInterest;Enumeration;; ; ;2;;;;;;;;3
510;Opmerkingen ten aanzien van de kadastrale registratie;4;LandRegisterComments;LandRegisterComments;String;; ; ;3;;;;;;;;3
511;Een grondstuk kan meerdere eigenaren hebben, alleen het percentage van de gerapporteerde eigenaar wordt opgenomen. Op gebouwniveau wordt het oppervlakte gewogen met de oppervlakte van de percelen.;4;OwnershipPercentage;OwnershipPercentage;Number;; ; ;2;;;;;;;;3
512;Het perceel oppervlakte zoals bekend bij het kadaster;4;LandRegisterArea;LandRegisterArea;String;; ; ;2;;;;;;;;1
513;Informatie over gebouw- /subobjectreferentie;4;BuildingInformationReference;BuildingInformationReference;Abstract;;;;3;;;;;;;;3
514;Interne id van het gebouw / subobject [as];4;InternalIDFacilityAxis;InternalIDFacilityAxis;Abstract;;;;3;;;;;;;;3
515;Interne id van het gebouw / subobject [typed member];4;InternalIDFacilityTypedMember;InternalIDFacilityTypedMember;String;;;;3;;;;;;;;3
516;Interne id van het onderpand / object [as];4;InternalIDCollateralAxis;InternalIDCollateralAxis;Abstract;;;;3;;;;;;;;3
517;Interne id van het onderpand / object [typed member];4;InternalIDCollateralTypedMember;InternalIDCollateralTypedMember;String;;;;3;;;;;;;;3
518;Gebouw- / subobjectreferentie toegekend door;4;BuildingReferenceAllocatedBy;BuildingReferenceAllocatedBy;Enumeration;; ; ;3;;;;;;;;3
519;Gebouw- /subobjectreferentie toegekend door (beschrijving);4;BuildingReferenceAllocatedByDescription;BuildingReferenceAllocatedByDescription;String;; ; ;3;;;;;;;;3
520;Omschrijving unieke gebouw- / subobjectreferentie;4;BuildingReferenceDescription;BuildingReferenceDescription;String;; ; ;3;;;;;;;;3
521;Typering van het gebouw / subobject;4;BuildingTyping;BuildingTyping;Abstract;;;;3;;;;;;;;3
522;Interne id van het gebouw / subobject [as];4;InternalIDFacilityAxis;InternalIDFacilityAxis;Abstract;;;;3;;;;;;;;3
523;Interne id van het gebouw / subobject [typed member];4;InternalIDFacilityTypedMember;InternalIDFacilityTypedMember;String;;;;3;;;;;;;;3
524;Interne id van het onderpand / object [as];4;InternalIDCollateralAxis;InternalIDCollateralAxis;Abstract;;;;3;;;;;;;;3
525;Interne id van het onderpand / object [typed member];4;InternalIDCollateralTypedMember;InternalIDCollateralTypedMember;String;;;;3;;;;;;;;3
526;Een beschrijving van het pand;4;TypingDescription;TypingDescription;String;FvL_CVLocatie_tpObject_tpObjectNaam_ti001_ti001;FvL_CVLocatie_tpObject_tpObjectNaam_ti001_ti001;String;3;;;;;;;;1
527;Sector type;4;IPDtype;IPDtype;Enumeration;FvL_CVLocatie_tpObject_tpSoortOG_ti001_ti001;FvL_CVLocatie_tpObject_tpSoortOG_ti001_ti001;Number;3;;;;;;;;1
528;Subsector type;4;IPDSubtype;IPDSubtype;Enumeration;; ; ;3;;;;;;;;3
529;Adres van het gebouw / subobject;4;BuildingAddress;BuildingAddress;Abstract;; ; ;3;;;;;;;;1
530;Interne id van het gebouw / subobject [as];4;InternalIDFacilityAxis;InternalIDFacilityAxis;Abstract;;;;3;;;;;;;;3
531;Interne id van het gebouw / subobject [typed member];4;InternalIDFacilityTypedMember;InternalIDFacilityTypedMember;String;;;;3;;;;;;;;3
532;Interne id van het onderpand / object [as];4;InternalIDCollateralAxis;InternalIDCollateralAxis;Abstract;;;;3;;;;;;;;3
533;Interne id van het onderpand / object [typed member];4;InternalIDCollateralTypedMember;InternalIDCollateralTypedMember;String;;;;3;;;;;;;;3
534;Locatieomschrijving NL;4;DescriptionLocationNL;DescriptionLocationNL;String;FvL_CVLocatie_tpLocatieOmschr_ti001;FvL_CVLocatie_tpLocatieOmschr_ti001;Number;1;;;;;;;;3
535;Straatnaam NL;4;StreetNameNL;StreetNameNL;String;FvL_CVLocatie_tpStraat_ti001;FvL_CVLocatie_tpStraat_ti001;String;1;;;;;;;;1
536;Huisnummer NL;4;HouseNumberNL;HouseNumberNL;String;FvL_CVLocatie_tpHuisnr_ti001;FvL_CVLocatie_tpHuisnr_ti001;String;1;;;;;;;;1
537;Huisnummer toevoeging;4;HouseNumberAddition;HouseNumberAddition;String;; ; ;2;;;;;;;;2
538;Plaats;4;PlaceOfResidenceNL;PlaceOfResidenceNL;String;FvL_CVLocatie_tpPlaats_ti001;FvL_CVLocatie_tpPlaats_ti001;String;1;;;;;;;;1
539;Stadsdeel;4;Borough;Borough;String;; ; ;3;;;;;;;;3
540;Postcode NL;4;PostalCodeNL;PostalCodeNL;String;FvL_CVLocatie_tpPostcode_ti001;FvL_CVLocatie_tpPostcode_ti001;String;1;;;;;;;;1
541; ;4;;;;FvL_CVLocatie_tpPostcodeBuitenland_ti001;FvL_CVLocatie_tpPostcodeBuitenland_ti001;String;2;;;;;;;;2
542;Gemeente;4;Municipality;Municipality;String;; ; ;1;;;;;;;;3
543;Provincie;4;NameRegion;NameRegion;String;; ; ;3;;;;;;;;3
544;Landnaam, ISO;4;CountryName;CountryName;String;FvL_CVLocatie_tpLand_ti001;FvL_CVLocatie_tpLand_ti001;String;1;;;;;;;;1
545;Verblijfsobject-identificatie;4;BAGVBOID;BAGVBOID;String;; ; ;2;;;;;;;;3
546;Pandindentificatie;4;BAGPandID;BAGPandID;String;; ; ;2;;;;;;;;3
547;Presentatievolgorde;4;PresentationOrder;PresentationOrder;Number;; ; ;3;;;;;;;;3
548;Gebouw- / subobjectinformatie [titel];4;BuildingInfoTitle;BuildingInfoTitle;Abstract;; ; ;1;;;;;;;;0
549;Juridische information van het gebouw / subobject [titel];5;BuildingLegalInfoTitle;BuildingLegalInfoTitle;Abstract;; ; ;1;;;;;;;;0
550;Juridische informatie gebouw / subobject;6;BuildingLegalInformation;BuildingLegalInformation;Abstract;;;;3;;;;;;;;3
551;Interne id van het gebouw / subobject [as];6;InternalIDFacilityAxis;InternalIDFacilityAxis;Abstract;;;;3;;;;;;;;3
552;Interne id van het gebouw / subobject [typed member];6;InternalIDFacilityTypedMember;InternalIDFacilityTypedMember;String;;;;3;;;;;;;;3
553;Interne id van het onderpand / object [as];6;InternalIDCollateralAxis;InternalIDCollateralAxis;Abstract;;;;3;;;;;;;;3
554;Interne id van het onderpand / object [typed member];6;InternalIDCollateralTypedMember;InternalIDCollateralTypedMember;String;;;;3;;;;;;;;3
555;Recht van opstal;6;RightOfResidence;RightOfResidence;Enumeration;; ; ;3;;;;;;;;2
556;Rijksmonument;6;NationalMonument;NationalMonument;Enumeration;; ; ;2;;;;;;;;2
557;Provinciaal monument;6;ProvinceMonument;ProvinceMonument;Enumeration;; ; ;2;;;;;;;;2
558;Gemeentelijk monument;6;CountyMonument;CountyMonument;Enumeration;; ; ;2;;;;;;;;2
559;Beschermde stads/dorpsgezicht;6;ProtectedCountyView;ProtectedCountyView;Enumeration;; ; ;2;;;;;;;;3
560;Kadastrale aanduiding percelen gebouw / subobject;6;BuildingLandRegisterParcels;BuildingLandRegisterParcels;Abstract;;;;3;;;;;;;;3
561;Interne id van het perceel [as];6;InternalIDParcelAxis;InternalIDParcelAxis;Abstract;;;;3;;;;;;;;3
562;Interne id van het perceel [typed member];6;InternalIDParcelTypedMember;InternalIDParcelTypedMember;String;;;;3;;;;;;;;3
563;Interne id van het gebouw / subobject [as];6;InternalIDFacilityAxis;InternalIDFacilityAxis;Abstract;;;;3;;;;;;;;3
564;Interne id van het gebouw / subobject [typed member];6;InternalIDFacilityTypedMember;InternalIDFacilityTypedMember;String;;;;3;;;;;;;;3
565;Interne id van het onderpand / object [as];6;InternalIDCollateralAxis;InternalIDCollateralAxis;Abstract;;;;3;;;;;;;;3
566;Interne id van het onderpand / object [typed member];6;InternalIDCollateralTypedMember;InternalIDCollateralTypedMember;String;;;;3;;;;;;;;3
567;Kadastrale eigenaar;6;OwnerAccordingToLandRegister;OwnerAccordingToLandRegister;String;; ; ;2;;;;;;;;2
568;Registratienummer bij de Kamer van Koophandel van de eigenaar;6;OwnerChamberOfCommerceRegistrationNumber;OwnerChamberOfCommerceRegistrationNumber;String;; ; ;2;;;;;;;;2
569;Kadastrale gemeente;6;CountyLandRegister;CountyLandRegister;String;; ; ;2;;;;;;;;3
570;Kadastrale gemeente sectie;6;CountyLandRegisterSection;CountyLandRegisterSection;String;; ; ;2;;;;;;;;3
571;Kadastrale gemeente nummer;6;CountyLandRegisterNumber;CountyLandRegisterNumber;String;; ; ;2;;;;;;;;3
572;Kadastrale gemeente index appartements nummer;6;CountyLandRegisterIndexNumberAppartmentRight;CountyLandRegisterIndexNumberAppartmentRight;String;; ; ;2;;;;;;;;3
573;Type eigendomsrecht;6;GroundInterest;GroundInterest;Enumeration;; ; ;2;;;;;;;;2
574;Een grondstuk kan meerdere eigenaren hebben, alleen het percentage van de gerapporteerde eigenaar wordt opgenomen. Op gebouwniveau wordt het oppervlakte gewogen met de oppervlakte van de percelen.;6;OwnershipPercentage;OwnershipPercentage;Number;; ; ;2;;;;;;;;2
575;Het perceel oppervlakte zoals bekend bij het kadaster;6;LandRegisterArea;LandRegisterArea;String;; ; ;2;;;;;;;;1
576;Kadastrale aanduiding percelen verkoopinformatie gebouw / subobject;6;BuildingLandRegisterParcelSalesInformation;BuildingLandRegisterParcelSalesInformation;Abstract;;;;3;;;;;;;;3
577;Interne id van het perceel [as];6;InternalIDParcelAxis;InternalIDParcelAxis;Abstract;;;;3;;;;;;;;3
578;Interne id van het perceel [typed member];6;InternalIDParcelTypedMember;InternalIDParcelTypedMember;String;;;;3;;;;;;;;3
579;Interne id van het gebouw / subobject [as];6;InternalIDFacilityAxis;InternalIDFacilityAxis;Abstract;;;;3;;;;;;;;3
580;Interne id van het gebouw / subobject [typed member];6;InternalIDFacilityTypedMember;InternalIDFacilityTypedMember;String;;;;3;;;;;;;;3
581;Interne id van het onderpand / object [as];6;InternalIDCollateralAxis;InternalIDCollateralAxis;Abstract;;;;3;;;;;;;;3
582;Interne id van het onderpand / object [typed member];6;InternalIDCollateralTypedMember;InternalIDCollateralTypedMember;String;;;;3;;;;;;;;3
583;Kadastrale verkoopdatum;6;LandRegisterParcelSalesDate;LandRegisterParcelSalesDate;Date;; ; ;3;;;;;;;;3
584;Kadastrale verkoopprijs;6;LandRegisterParcelSalesPrice;LandRegisterParcelSalesPrice;Monetary;; ; ;3;;;;;;;;3
585;Gebruikssituatie van het gebouw / subobject [titel];5;BuildingUsageTitle;BuildingUsageTitle;Abstract;; ; ;1;;;;;;;;0
586;Gebruikssituatie van het gebouw / subobject;6;BuildingUsage;BuildingUsage;Abstract;;;;3;;;;;;;;3
587;Interne id van het gebouw / subobject [as];6;InternalIDFacilityAxis;InternalIDFacilityAxis;Abstract;;;;3;;;;;;;;3
588;Interne id van het gebouw / subobject [typed member];6;InternalIDFacilityTypedMember;InternalIDFacilityTypedMember;String;;;;3;;;;;;;;3
589;Interne id van het onderpand / object [as];6;InternalIDCollateralAxis;InternalIDCollateralAxis;Abstract;;;;3;;;;;;;;3
590;Interne id van het onderpand / object [typed member];6;InternalIDCollateralTypedMember;InternalIDCollateralTypedMember;String;;;;3;;;;;;;;3
591;Verhuurde oppervlakte;6;AreaLeased;AreaLeased;String;FvL_CVLocatie_tpObject_tpHuurders_tpVVOm2_ti001_ti001_ti001;FvL_CVLocatie_tpObject_tpHuurders_tpVVOm2_ti001_ti001_ti001;Number;2;;;;;;;;1
592;Bezettingspercentage;6;OccupancyRate;OccupancyRate;Number;; ; ;1;;;;;;;;1
593;Basishuur per jaar;6;ContractRentPerYear;ContractRentPerYear;Monetary;; ; ;2;;;;;;;;1
594;Datum van basishuur schatting;6;EstimateHeadlineRentDate;EstimateHeadlineRentDate;Date;; ; ;3;;;;;;;;2
595;Kredietkwaliteit hoofdhuurder;6;CreditQualityAnchorTenant;CreditQualityAnchorTenant;Enumeration;; ; ;3;;;;;;;;1
596;Mediaan kredietkwaliteit huurders;6;MedianCreditQualityTenants;MedianCreditQualityTenants;Enumeration;; ; ;2;;alleen als het hele gebouw aan één partij verhuurd wordt;;;;;;2
597;Aantal huurders;6;NumberOfTenants;NumberOfTenants;Number;; ; ;1;;;;;;;;3
598;Algemene huurinformatie van het gebouw / subobject;6;BuildingGeneralLeaseInformation;BuildingGeneralLeaseInformation;Abstract;;;;3;;;;;;;;3
599;Interne id van het gebouw / subobject [as];6;InternalIDFacilityAxis;InternalIDFacilityAxis;Abstract;;;;3;;;;;;;;3
600;Interne id van het gebouw / subobject [typed member];6;InternalIDFacilityTypedMember;InternalIDFacilityTypedMember;String;;;;3;;;;;;;;3
601;Interne id van het onderpand / object [as];6;InternalIDCollateralAxis;InternalIDCollateralAxis;Abstract;;;;3;;;;;;;;3
602;Interne id van het onderpand / object [typed member];6;InternalIDCollateralTypedMember;InternalIDCollateralTypedMember;String;;;;3;;;;;;;;3
603;Naam huurder;6;TenantName;TenantName;String;FvL_CVLocatie_tpObject_tpHuurders_tpNaamHuurder_ti001_ti001_ti001;FvL_CVLocatie_tpObject_tpHuurders_tpNaamHuurder_ti001_ti001_ti001;String;3;;alleen als het hele gebouw aan één partij verhuurd wordt;;;;;;1
604;Registratienummer bij de Kamer van Koophandel van de huurder;6;TenantChamberOfCommerceRegistrationNumber;TenantChamberOfCommerceRegistrationNumber;String;; ; ;3;;;;;;;;2
605;Kredietkwaliteit hoofdhuurder;6;CreditQualityAnchorTenant;CreditQualityAnchorTenant;Enumeration;; ; ;3;;;;;;;;3
606;Kredietkwaliteit huurder;6;CreditQualityTenant;CreditQualityTenant;Enumeration;FvL_CVLocatie_tpObject_tpHuurders_tpKwaliteitHuurderFactor_ti001_ti001_ti001;FvL_CVLocatie_tpObject_tpHuurders_tpKwaliteitHuurderFactor_ti001_ti001_ti001;Number;3;;;;;;;;1
607;Hoofdhuurder;6;AnchorTenant;AnchorTenant;String;; ; ;3;;;;;;;;3
608;NAICS-code;6;NAICSCode;NAICSCode;String;; ; ;3;;North American Industrial Classification System;;;;;;3
609;Huurregels van het gebouw / subobject;6;BuildingLeaseCharges;BuildingLeaseCharges;Abstract;;;;3;;;;;;;;3
610;Interne id van de huurregels [as];6;InternalIDLeaseChargesAxis;InternalIDLeaseChargesAxis;Abstract;; ; ;3;;;;;;;;3
611;Interne id van de huurregels [typed member];6;InternalIDLeaseChargesTypedMember;InternalIDLeaseChargesTypedMember;String;; ; ;3;;;;;;;;3
612;Interne id van het gebouw / subobject [as];6;InternalIDFacilityAxis;InternalIDFacilityAxis;Abstract;; ; ;3;;;;;;;;3
613;Interne id van het gebouw / subobject [typed member];6;InternalIDFacilityTypedMember;InternalIDFacilityTypedMember;String;; ; ;3;;;;;;;;3
614;Interne id van het onderpand / object [as];6;InternalIDCollateralAxis;InternalIDCollateralAxis;Abstract;; ; ;3;;;;;;;;3
615;Interne id van het onderpand / object [typed member];6;InternalIDCollateralTypedMember;InternalIDCollateralTypedMember;String;; ; ;3;;;;;;;;3
616;Inkomenscategorie;6;IncomeCategory;IncomeCategory;String;; ; ;3;;;;;;;;3
617;Betalingsfrequentie;6;PaymentFrequency;PaymentFrequency;String;; ; ;3;;;;;;;;3
618;Huur is BTW-belast;6;LeaseVATChargeable;LeaseVATChargeable;Enumeration;; ; ;3;;;;;;;;3
619;BTW-percentage van toepassing op huurregel;6;LeaseVAT;LeaseVAT;Number;; ; ;3;;;;;;;;3
620;Huur is rentedragend;6;LeaseInterestChargeable;LeaseInterestChargeable;Enumeration;; ; ;3;;;;;;;;3
621;Huurcommissiezaak op huurprijs;6;RentCommissionAuthorityCase;RentCommissionAuthorityCase;Enumeration;; ; ;3;;;;;;;;3
622;Te facturereren bedrag;6;AmountInvoiced;AmountInvoiced;Monetary;; ; ;3;;;;;;;;3
623;Huur op startdatum;6;StartingRent;StartingRent;Monetary;; ; ;3;;;;;;;;3
624;Start betalingsschema;6;StartPaymentSchedule;StartPaymentSchedule;Date;; ; ;3;;;;;;;;3
625;Einde betalingsschema;6;EndPaymentSchedule;EndPaymentSchedule;Date;; ; ;3;;;;;;;;3
626;Voorschot;6;AdvancePayment;AdvancePayment;Enumeration;; ; ;3;;;;;;;;2
627;Breakregels van het gebouw / subobject;6;BuildingLeaseChargesBreak;BuildingLeaseChargesBreak;Abstract;; ; ;3;;;;;;;;3
628;Interne id van de huurregels [as];6;InternalIDLeaseChargesAxis;InternalIDLeaseChargesAxis;Abstract;; ; ;3;;;;;;;;3
629;Interne id van de huurregels [typed member];6;InternalIDLeaseChargesTypedMember;InternalIDLeaseChargesTypedMember;String;; ; ;3;;;;;;;;3
630;Interne id van het gebouw / subobject [as];6;InternalIDFacilityAxis;InternalIDFacilityAxis;Abstract;; ; ;3;;;;;;;;3
631;Interne id van het gebouw / subobject [typed member];6;InternalIDFacilityTypedMember;InternalIDFacilityTypedMember;String;; ; ;3;;;;;;;;3
632;Interne id van het onderpand / object [as];6;InternalIDCollateralAxis;InternalIDCollateralAxis;Abstract;; ; ;3;;;;;;;;3
633;Interne id van het onderpand / object [typed member];6;InternalIDCollateralTypedMember;InternalIDCollateralTypedMember;String;; ; ;3;;;;;;;;3
634;Datum break optie in huurovereenkomst;6;BreakDate;BreakDate;Date;; ; ;3;;;;;;;;1
635;Eerste mogelijke opzegdatum;6;FirstNoticeDate;FirstNoticeDate;Date;; ; ;3;;;;;;;;2
636;Laatste mogelijke opzegdatum;6;LastNoticeDate;LastNoticeDate;Date;; ; ;3;;;;;;;;2
637;Partij(en) die de break mogen uitoefenen;6;BreakParty;BreakParty;String;; ; ;3;;;;;;;;3
638;Bedrag gemoeid met het uitoefenen van een break-optie;6;BreakPenalty;BreakPenalty;Monetary;; ; ;3;;;;;;;;3
639;Partij die bij het uitoefenen van een break-optie het bedrag betaalt;6;BreakPenaltyParty;BreakPenaltyParty;String;; ; ;3;;;;;;;;3
640;Rollende break-optie;6;BreakRollingOption;BreakRollingOption;Enumeration;; ; ;3;;;;;;;;3
641;Gebouw / subobject huurbedrag;6;BuildingRentMeasurement;BuildingRentMeasurement;Abstract;; ; ;3;;;;;;;;3
642;Interne id van de huurregels [as];6;InternalIDLeaseChargesAxis;InternalIDLeaseChargesAxis;Abstract;; ; ;3;;;;;;;;3
643;Interne id van de huurregels [typed member];6;InternalIDLeaseChargesTypedMember;InternalIDLeaseChargesTypedMember;String;; ; ;3;;;;;;;;3
644;Interne id van het gebouw / subobject [as];6;InternalIDFacilityAxis;InternalIDFacilityAxis;Abstract;; ; ;3;;;;;;;;3
645;Interne id van het gebouw / subobject [typed member];6;InternalIDFacilityTypedMember;InternalIDFacilityTypedMember;String;; ; ;3;;;;;;;;3
646;Interne id van het onderpand / object [as];6;InternalIDCollateralAxis;InternalIDCollateralAxis;Abstract;; ; ;3;;;;;;;;3
647;Interne id van het onderpand / object [typed member];6;InternalIDCollateralTypedMember;InternalIDCollateralTypedMember;String;; ; ;3;;;;;;;;3
648;Contracthuur;6;ContractRent;ContractRent;Monetary;; ; ;3;;;;;;;;2
649;Methode berekenen huurbedrag;6;ContractRentMethod;ContractRentMethod;Enumeration;; ; ;3;;;;;;;;3
650;Brontype huurgegevens / huurlijsten;6;ContractRentSourceType;ContractRentSourceType;Enumeration;; ; ;3;;;;;;;;3
651;Datum huurbedrag;6;ContractRentDate;ContractRentDate;Date;; ; ;3;;;;;;;;3
652;Basishuur per jaar;6;ContractRentPerYear;ContractRentPerYear;Monetary;; ; ;3;;;;;;;;2
653;;6;;;;FvL_CVLocatie_tpObject_tpHuurders_tpHuurcontractBeginDatum_ti001_ti001_ti001;FvL_CVLocatie_tpObject_tpHuurders_tpHuurcontractBeginDatum_ti001_ti001_ti001;Number;3;;;;dit hoort bij ruimte;;;;1
654;;6;;;;FvL_CVLocatie_tpObject_tpHuurders_tpHuurcontractEindDatum_ti001_ti001_ti001;FvL_CVLocatie_tpObject_tpHuurders_tpHuurcontractEindDatum_ti001_ti001_ti001;Number;3;;;;;;;;1
655;;6;;;;FvL_CVLocatie_tpObject_tpHuurders_tpHuurcontractOpzegTermijn_ti001_ti001_ti001;FvL_CVLocatie_tpObject_tpHuurders_tpHuurcontractOpzegTermijn_ti001_ti001_ti001;Number;3;;;;;;;;1
656;;6;;;;FvL_CVLocatie_tpObject_tpHuurders_tpResterendeLooptijdContract_ti001_ti001_ti001;FvL_CVLocatie_tpObject_tpHuurders_tpResterendeLooptijdContract_ti001_ti001_ti001;Number;3;;;;;;;;1
657;;6;;;;FvL_CVLocatie_tpObject_tpHuurders_tpVerlengingsoptie_ti001_ti001_ti001;FvL_CVLocatie_tpObject_tpHuurders_tpVerlengingsoptie_ti001_ti001_ti001;Number;3;;;;;;;;1
658;Gebouw / subobject markthuur;6;BuildingMarketMeasurement;BuildingMarketMeasurement;Abstract;; ; ;3;;;;;;;;3
659;Interne id van de huurregels [as];6;InternalIDLeaseChargesAxis;InternalIDLeaseChargesAxis;Abstract;; ; ;3;;;;;;;;3
660;Interne id van de huurregels [typed member];6;InternalIDLeaseChargesTypedMember;InternalIDLeaseChargesTypedMember;String;; ; ;3;;;;;;;;3
661;Interne id van het gebouw / subobject [as];6;InternalIDFacilityAxis;InternalIDFacilityAxis;Abstract;;; ;3;;;;;;;;3
662;Interne id van het gebouw / subobject [typed member];6;InternalIDFacilityTypedMember;InternalIDFacilityTypedMember;String;;; ;3;;;;;;;;3
663;Interne id van het onderpand / object [as];6;InternalIDCollateralAxis;InternalIDCollateralAxis;Abstract;;; ;3;;;;;;;;3
664;Interne id van het onderpand / object [typed member];6;InternalIDCollateralTypedMember;InternalIDCollateralTypedMember;String;;;;3;;;;;;;;3
665;Markthuur;6;MarketRent;MarketRent;Monetary;;;;3;;;;;;;;3
666;Brontype markthuurwaarde;6;MarketRentSourceType;MarketRentSourceType;Enumeration;;;;3;;;;;;;;3
667;Datum van markthuurschatting;6;EstimateMarketRentDate;EstimateMarketRentDate;Date;; ; ;3;;;;;;;;3
668;Gebouw / subobject oppervlakte;6;BuildingAreaMeasurement;BuildingAreaMeasurement;Abstract;; ; ;3;;;;;;;;3
669;Interne id van de huurregels [as];6;InternalIDLeaseChargesAxis;InternalIDLeaseChargesAxis;Abstract;; ; ;3;;;;;;;;3
670;Interne id van de huurregels [typed member];6;InternalIDLeaseChargesTypedMember;InternalIDLeaseChargesTypedMember;String;; ; ;3;;;;;;;;3
671;Interne id van het gebouw / subobject [as];6;InternalIDFacilityAxis;InternalIDFacilityAxis;Abstract;; ; ;3;;;;;;;;3
672;Interne id van het gebouw / subobject [typed member];6;InternalIDFacilityTypedMember;InternalIDFacilityTypedMember;String;; ; ;3;;;;;;;;3
673;Interne id van het onderpand / object [as];6;InternalIDCollateralAxis;InternalIDCollateralAxis;Abstract;; ; ;3;;;;;;;;3
