1;omschrijving;level;VT12;controle;soort;VLB;control2;soort2;;klopt dit?;;;;;;;mate van belangrijkheid
43;Postcode buitenland;3;;;;FvL_CVLocatie_tpPostcodeBuitenland_ti001;FvL_CVLocatie_tpPostcodeBuitenland_ti001;String;2;;alleen als land niet Nederland is;;;;;;2
44;Gemeente;3;Municipality;Municipality;String;; ; ;3;;;;;;;;3
45;Provincie;3;NameRegion;NameRegion;String;;;;2;;;;;;;;3
46;Landnaam, ISO;3;CountryName;CountryName;String;FvL_CVLocatie_tpLand_ti001;FvL_CVLocatie_tpLand_ti001;String;1;;;;;;;;1
47;Pandindentificatie;3;BAGPandID;BAGPandID;String;;;;3;;;;;;;;3
48;Verblijfsobject-identificatie;3;BAGVBOID;BAGVBOID;String;; ; ;3;;;;;;;;3
49;Presentatievolgorde;3;PresentationOrder;PresentationOrder;Number;; ; ;3;;;;;;;;3
50;Milieuverontreiniging;3;ObjectEnvironmentalPollution;ObjectEnvironmentalPollution;Abstract;; ;;3;;;;;;;;3
51;Interne id van het onderpand / object [as];3;InternalIDCollateralAxis;InternalIDCollateralAxis;Abstract;; ;;3;;;;;;;;3
52;Interne id van het onderpand / object [typed member];3;InternalIDCollateralTypedMember;InternalIDCollateralTypedMember;String;; ; ;3;;;;;;;;3
53;Bodem verontreiniging;3;GroundPollution;GroundPollution;Enumeration;; ; ;2;;;;;;;;3
54;Object verontreiniging;3;ObjectPollution;ObjectPollution;Enumeration;; ; ;2;;;;;;;;3
55;Kosten verwijdering van de verontreiniging;3;RemovalPollutionCost;RemovalPollutionCost;Monetary;; ; ;2;;;;;;;;3
56;Geluidsverontreiniging;3;SoundPollution;SoundPollution;Enumeration;; ; ;2;;;;;;;;3
57;Luchtverontreiniging;3;AirPollution;AirPollution;Enumeration;; ; ;2;;;;;;;;3
58;Duurzaamheid meting;3;ObjectEnvironmentalAssesment;ObjectEnvironmentalAssesment;Abstract;; ; ;3;;;;;;;;3
59;Interne id van het onderpand / object [as];3;InternalIDCollateralAxis;InternalIDCollateralAxis;Abstract;; ; ;3;;;;;;;;3
60;Interne id van het onderpand / object [typed member];3;InternalIDCollateralTypedMember;InternalIDCollateralTypedMember;String;; ; ;3;;;;;;;;3
61;EPC-score (energieprestatiecertificaat);3;EPCScore;EPCScore;String;; ; ;2;;;;;;;;3
62;Energielabel;3;EnergyLabel;EnergyLabel;Enumeration;FvL_CVLocatie_tpObject_tpEnergielabel_ti001_ti001;FvL_CVLocatie_tpObject_tpEnergielabel_ti001_ti001;Number;1;;;;;;;;1
63;BREAAM (Building Research Establishment Environmental Assessment Method) label;3;BREAAMlabel;BREAAMlabel;Enumeration;; ; ;1;;;;;;;;3
64; ;3;; ; ;FvL_CVLocatie_tpExplKostenNormPerc_ti001;FvL_CVLocatie_tpExplKostenNormPerc_ti001;Number;1;;;;;;;;1
65; ;3;; ; ;FvL_CVLocatie_tpExplKostenNorm_ti001;FvL_CVLocatie_tpExplKostenNorm_ti001;Number;1;;;;;;;;1
66; ;3;; ; ;FvL_CVLocatie_tpExplKostenWerkelijkPerc_ti001;FvL_CVLocatie_tpExplKostenWerkelijkPerc_ti001;Number;1;;;;;;;;1
67; ;3;; ; ;FvL_CVLocatie_tpExplKostenWerkelijk_ti001;FvL_CVLocatie_tpExplKostenWerkelijk_ti001;Number;1;;;;;;;;1
68;Object informatie [titel];3;ObjectInformationTitle;ObjectInformationTitle;Abstract;;; ;1;;;;;;;;0
69;Juridische informatie van het object [titel];4;ObjectLegalInformationTitle;ObjectLegalInformationTitle;Abstract;;; ;3;;;;;;;;0
